,stock_future
0,1837.9940185546875
1,1836.9892578125
2,1835.985595703125
3,1834.9830322265625
4,1833.981201171875
5,1832.980712890625
6,1831.9810791015625
7,1830.9825439453125
8,1829.9849853515625
9,1828.9884033203125
10,1827.9930419921875
11,1826.99853515625
12,1826.005126953125
13,1825.0125732421875
14,1824.0211181640625
15,1823.03076171875
16,1822.0413818359375
17,1821.0531005859375
18,1820.06591796875
19,1819.07958984375
20,1818.094482421875
21,1817.1099853515625
22,1816.126708984375
23,1815.1444091796875
24,1814.1630859375
25,1813.18310546875
26,1812.2037353515625
27,1811.2257080078125
28,1810.2486572265625
29,1809.2723388671875
30,1808.2969970703125
31,1807.3228759765625
32,1806.349609375
33,1805.37744140625
34,1804.4061279296875
35,1803.4359130859375
36,1802.466796875
37,1801.4986572265625
38,1800.5313720703125
39,1799.5653076171875
40,1798.60009765625
41,1797.6358642578125
42,1796.6724853515625
43,1795.7103271484375
44,1794.7490234375
45,1793.788818359375
46,1792.82958984375
47,1791.8712158203125
48,1790.9139404296875
49,1789.957763671875
50,1789.0023193359375
51,1788.048095703125
52,1787.0946044921875
53,1786.1422119140625
54,1785.1910400390625
55,1784.2408447265625
56,1783.2913818359375
57,1782.3428955078125
58,1781.3955078125
59,1780.4488525390625
60,1779.5032958984375
61,1778.558837890625
62,1777.615478515625
63,1776.6728515625
64,1775.7310791015625
65,1774.7904052734375
66,1773.8504638671875
67,1772.9114990234375
68,1771.9737548828125
69,1771.036865234375
70,1770.1011962890625
71,1769.1661376953125
72,1768.232421875
73,1767.2994384765625
74,1766.367431640625
75,1765.4364013671875
76,1764.5064697265625
77,1763.577392578125
78,1762.6492919921875
79,1761.72216796875
80,1760.7960205078125
81,1759.8707275390625
82,1758.9462890625
83,1758.0230712890625
84,1757.1005859375
85,1756.17919921875
86,1755.2587890625
87,1754.3392333984375
88,1753.4205322265625
89,1752.5029296875
